country,confederation
Scotland,UEFA
England,UEFA
Wales,UEFA
Northern Ireland,UEFA
United States,CONCACAF
Uruguay,CONMEBOL
Austria,UEFA
Hungary,UEFA
Argentina,CONMEBOL
Belgium,UEFA
France,UEFA
Guernsey,UNKNOWN
Jersey,UNKNOWN
Netherlands,UEFA
Guyana,CONCACAF
Czechoslovakia,UNKNOWN
Alderney,UNKNOWN
Switzerland,UEFA
Sweden,UEFA
Germany,UEFA
Italy,UEFA
Chile,CONMEBOL
Norway,UEFA
Russia,UEFA
Finland,UEFA
Luxembourg,UEFA
Denmark,UEFA
Catalonia,UEFA
Philippines,AFC
Basque Country,UEFA
China PR,AFC
Brazil,CONMEBOL
Japan,AFC
Paraguay,CONMEBOL
Greece,UEFA
Spain,UEFA
Egypt,CAF
Suriname,CONCACAF
Canada,CONCACAF
Estonia,UEFA
Costa Rica,CONCACAF
Guatemala,CONCACAF
Brittany,UNKNOWN
Poland,UEFA
Yugoslavia,UNKNOWN
New Zealand,OFC
Romania,UEFA
Latvia,UEFA
Galicia,UEFA
Portugal,UEFA
Andalusia,UNKNOWN
Australia,AFC
Lithuania,UEFA
Turkey,UEFA
Central Spain,UNKNOWN
Mexico,CONCACAF
Aruba,CONCACAF
Republic of Ireland,UEFA
Haiti,CONCACAF
Bulgaria,UEFA
Jamaica,CONCACAF
Kenya,CAF
Bolivia,CONMEBOL
Peru,CONMEBOL
Honduras,CONCACAF
Uganda,CAF
Belarus,UEFA
El Salvador,CONCACAF
Barbados,CONCACAF
Trinidad and Tobago,CONCACAF
Cuba,CONCACAF
Curaçao,CONCACAF
Dominica,CONCACAF
Silesia,UNKNOWN
Guadeloupe,CONCACAF
Israel,UEFA
French Guiana,CONCACAF
Panama,CONCACAF
Colombia,CONMEBOL
Venezuela,CONMEBOL
Ecuador,CONMEBOL
Saint Kitts and Nevis,CONCACAF
Slovakia,UEFA
Manchukuo,UNKNOWN
Croatia,UEFA
Nicaragua,CONCACAF
Afghanistan,AFC
India,AFC
Martinique,CONCACAF
Zimbabwe,CAF
Iceland,UEFA
Albania,UEFA
Madagascar,CAF
Zambia,CAF
Mauritius,CAF
Tanzania,CAF
Iran,AFC
Djibouti,CAF
DR Congo,CAF
Vietnam,AFC
Macau,AFC
Ethiopia,CAF
Puerto Rico,CONCACAF
Réunion,UNKNOWN
Sierra Leone,CAF
Zanzibar,UNKNOWN
South Korea,AFC
Ghana,CAF
South Africa,CAF
New Caledonia,OFC
Fiji,OFC
Nigeria,CAF
Myanmar,AFC
Sri Lanka,AFC
Tahiti,OFC
Gambia,CAF
Hong Kong,AFC
Singapore,AFC
Malaysia,AFC
Indonesia,AFC
Guinea-Bissau,CAF
German DR,UNKNOWN
Vanuatu,OFC
Kernow,UNKNOWN
Saarland,UNKNOWN
Taiwan,AFC
Cambodia,AFC
Lebanon,AFC
Pakistan,AFC
Vietnam Republic,AFC
North Korea,AFC
Togo,CAF
Sudan,CAF
Malta,UEFA
Syria,AFC
Tunisia,CAF
Malawi,CAF
Morocco,CAF
Benin,CAF
Thailand,AFC
Cameroon,CAF
Central African Republic,CAF
Gabon,CAF
Ivory Coast,CAF
Burkina Faso,CAF
Congo,CAF
Mali,CAF
North Vietnam,AFC
Mongolia,AFC
Cyprus,UEFA
Iraq,AFC
Saint Lucia,CONCACAF
Grenada,CONCACAF
Senegal,CAF
Chad,CAF
Libya,AFC
Guinea,CAF
Algeria,CAF
